,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
87,87,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p4,-3445.392888476563,33.40877229309082,-56.89705484962463,0.0,130.5880967285157,115.2920833251953,21,PN07,SLS - Variable Actions (Env.)
88,88,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,-3188.5970778564447,19.76970841979981,-81.7083182094574,0.0,154.62208066406242,96.61231348876947,21,PN07,SLS - Variable Actions (Env.)
89,89,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,-3202.00262668457,19.76970841979981,-81.7083182094574,0.0,113.76793178710936,86.72745253906248,21,PN07,SLS - Variable Actions (Env.)
90,90,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-2798.0100382812498,17.665179562377933,-82.26258027153015,0.0,155.19411811523435,81.76782218017574,21,PN07,SLS - Variable Actions (Env.)
91,91,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-2811.415587109375,17.665179562377933,-82.26258027153015,0.0,114.06282641601562,72.93522414550782,21,PN07,SLS - Variable Actions (Env.)
92,92,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-3606.3880849609377,-0.0163638000488281,-34.4984563999176,0.0,142.91598193359374,55.60995050048828,22,PN07,SLS - Quasi-permanent (Env.)
93,93,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-3619.7936337890624,-0.0163638000488281,-34.4984563999176,0.0,125.66675012207033,55.6181244506836,22,PN07,SLS - Quasi-permanent (Env.)
94,94,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-3691.254994140625,0.2805727233886719,-35.28787651252747,0.0,168.20253198242187,58.281262268066406,22,PN07,SLS - Quasi-permanent (Env.)
95,95,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-3704.66054296875,0.2805727233886719,-35.28787651252747,0.0,150.55859899902345,58.14096746826172,22,PN07,SLS - Quasi-permanent (Env.)
96,96,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-4930.122499482424,179.37423738098147,-138.48951236825943,0.0,261.0594342138672,551.5209383300783,23,PN07,ULS - Set A/B - Variable Actions (Env.)
97,97,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-4948.219990400392,179.37423738098147,-138.48951236825943,0.0,191.81468494873027,461.8338239208984,23,PN07,ULS - Set A/B - Variable Actions (Env.)
98,98,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,-2438.7686607519527,168.90678245437627,-138.24581890665053,0.0,176.75680156005862,475.595415975952,23,PN07,ULS - Set A/B - Variable Actions (Env.)
