,element_nos,Cs,xDivL,Fx,Mres
2876,187,C54,0.0,-1539.0919677539066,199.9987998930947
2877,187,C54,1.0,-1548.6846274218753,203.5862928727695
2878,188,C54,0.0,-1548.688850151367,203.58633311500105
2879,188,C54,1.0,-1558.2815071826171,168.5491588167099
2880,189,C54,0.0,-1558.2795339404302,168.5491218832624
2881,189,C54,1.0,-1567.87219097168,116.34517840535409
2882,190,C54,0.0,-1567.873937441406,116.34515857911381
2883,190,C54,1.0,-1577.466594472656,63.02699019522317
2884,191,C54,0.0,-1577.4668544482424,63.026998016841326
2885,191,C54,1.0,-1587.0595114794924,24.0293882715683
2886,192,C54,0.0,-1587.0565506640626,24.02938805816485
2887,192,C54,1.0,-1596.6492024218753,6.511120829083809
2888,193,C54,0.0,-1596.6517260546877,6.511125156638319
2889,193,C54,1.0,-1606.2443830859377,9.020598415543306
2890,194,C54,0.0,-1606.2423149218753,9.020600265404608
2891,194,C54,1.0,-1615.8349719531252,6.4777419814745025
2892,195,C54,0.0,-1615.83891765625,6.477740966307435
2893,195,C54,1.0,-1625.4315746875,2.5975706808915513
2894,196,C54,0.0,-1625.4279291796875,2.597570276724386
2895,196,C54,1.0,-1635.0205862109378,1.1616607226186371e-07
2896,198,C54,0.0,-1173.214456080505,349.86249524598406
2897,198,C54,1.0,-1178.0107850756835,264.0814907017757
2898,200,C54,0.0,-2485.104889303161,376.32063218689837
2899,200,C54,1.0,-2489.90121829834,284.0351470816131
2900,202,C54,0.0,-849.628771440612,351.7285309448438
2901,202,C54,1.0,-854.4251004357909,262.29510310473677
2902,204,C54,0.0,-2167.7018377015993,376.9799290214295
2903,204,C54,1.0,-2172.4981666967783,281.5067224982298
2904,206,C54,0.0,-526.0657868507685,354.73503062649024
2905,206,C54,1.0,-530.8621158459473,260.66847868311635
2906,208,C54,0.0,-1841.0873470180052,376.6715156298446
2907,208,C54,1.0,-1845.8836760131837,277.4388192976738
2908,210,C54,0.0,-201.6079838734736,360.1828222714573
2909,210,C54,1.0,-206.40431286865237,260.4993487041019
2910,212,C54,0.0,-1505.524818268005,381.1682146514861
2911,212,C54,1.0,-1510.3211472631838,276.7399775197166
2912,86,C55,0.0,-883.5864746191405,261.7895221692528
2913,86,C55,1.0,-890.3368631323242,100.103238765827
2914,87,C55,0.0,-890.3368810375975,100.10335351592289
2915,87,C55,1.0,-897.0872693188475,78.88520465746197
2916,88,C55,0.0,-897.0887641186522,78.88504013792706
2917,88,C55,1.0,-903.8391523999023,138.37759159021226
2918,89,C55,0.0,-903.8373498657224,138.37746177218395
2919,89,C55,1.0,-910.5877400024413,154.5861580682328
2920,90,C55,0.0,-910.5881894702146,154.58620220510795
2921,90,C55,1.0,-917.3385777514649,134.49664028305577
2922,91,C55,0.0,-917.3380626147459,134.496687546029
2923,91,C55,1.0,-924.0884508959958,96.66466393152714
2924,92,C55,0.0,-924.0885020532227,96.66466683858972
2925,92,C55,1.0,-930.8388903344726,55.109170079186406
2926,93,C55,0.0,-930.8420964233399,55.109171803978576
2927,93,C55,1.0,-937.5924847045898,22.302639708365884
2928,94,C55,0.0,-937.5886068188473,22.302637100489314
2929,94,C55,1.0,-944.3389913891598,3.257591310116436
2930,95,C55,0.0,-944.3396519897459,3.2575949599462986
2931,95,C55,1.0,-951.090040270996,6.235615384390205
2932,96,C55,0.0,-951.0903776782224,6.235614440205008
2933,96,C55,1.0,-957.8407659594725,5.025266973464138
2934,97,C55,0.0,-957.8425075170896,5.025266859978009
2935,97,C55,1.0,-964.5928957983398,2.1214688131052286
2936,98,C55,0.0,-964.591167927246,2.12146898440834
2937,98,C55,1.0,-971.3415562084958,2.8860390359663984e-07
2938,100,C55,0.0,-1536.4255854418946,280.44572513908645
2939,100,C55,1.0,-1543.1759739550782,108.00993624882119
2940,101,C55,0.0,-1543.179441386719,108.01008351988062
2941,101,C55,1.0,-1549.929829667969,78.98938358772354
2942,102,C55,0.0,-1549.9302820703126,78.98905097584772
2943,102,C55,1.0,-1556.6806703515626,142.52225162258551
2944,103,C55,0.0,-1556.675579902344,142.5222245008686
2945,103,C55,1.0,-1563.4259700390628,160.81599937408345
2946,104,C55,0.0,-1563.4296468164064,160.81601288411477
2947,104,C55,1.0,-1570.1800350976564,140.658162379981
2948,105,C55,0.0,-1570.1804131640627,140.65815151478193
2949,105,C55,1.0,-1576.9308014453127,101.53343453821462
2950,106,C55,0.0,-1576.929585527344,101.53342163583252
2951,106,C55,1.0,-1583.6799738085938,58.219039170178505
2952,107,C55,0.0,-1583.6823487695315,58.21904757758179
2953,107,C55,1.0,-1590.4327370507813,23.755243510452324
2954,108,C55,0.0,-1590.427955742188,23.755241723777313
2955,108,C55,1.0,-1597.1783403125005,3.359816252455361
2956,109,C55,0.0,-1597.1821317578124,3.3598166918349217
2957,109,C55,1.0,-1603.9325200390624,6.421755385276256
2958,110,C55,0.0,-1603.9305160937504,6.421753903183567
2959,110,C55,1.0,-1610.6809043750004,5.239721515304983
2960,111,C55,0.0,-1610.6840110156252,5.239723233746919
2961,111,C55,1.0,-1617.4343992968754,2.2241846157651626
2962,112,C55,0.0,-1617.4307755078123,2.224184549742927
2963,112,C55,1.0,-1624.1811637890623,1.6220575055594942e-07
2964,114,C55,0.0,-559.8892223608397,267.6555940019486
2965,114,C55,1.0,-566.6396108740233,98.50822251926596
2966,115,C55,0.0,-566.6397991064451,98.50849617976483
2967,115,C55,1.0,-573.3901873876952,78.7627102858879
2968,116,C55,0.0,-573.3921044531248,78.76288716550302
2969,116,C55,1.0,-580.1424927343749,142.76029631248616
2970,117,C55,0.0,-580.1405907250976,142.7603159735307
2971,117,C55,1.0,-586.8909808618164,159.98589096572545
2972,118,C55,0.0,-586.8906773291013,159.98591186375367
